text,label
Доставка опоздала на два дня и поддержка молчит,complaint
Курьер привез заказ с разбитой упаковкой,complaint
Приложение вылетает каждый раз после входа,complaint
Мне начислили лишнюю сумму за подписку,complaint
Заказ отменили без предупреждения и объяснений,complaint
Сайт зависает на шаге оплаты,complaint
Обещали перезвонить сегодня но никто не связался,complaint
Возврат денег идет слишком долго,complaint
Товар пришел бракованный и не включается,complaint
В личном кабинете пропали мои бонусы,complaint
Поддержка отвечает шаблонами и не решает проблему,complaint
Не могу применить промокод хотя срок не истек,complaint
Посылка потерялась и статус не обновляется неделю,complaint
После обновления кнопка оплаты перестала работать,complaint
Оператор грубо общался в чате,complaint
Вместо нового товара доставили использованный,complaint
Деньги списались дважды за один заказ,complaint
Невозможно загрузить чек в форму возврата,complaint
Доставка снова перенесена без моего согласия,complaint
Заказ приехал не полностью и часть товаров отсутствует,complaint
Поддержка молчит а возврат за отмененный заказ все еще не пришел,complaint
После последнего обновления невозможно оплатить заказ картой,complaint
Заказ задержали на три дня и никто не предупредил заранее,complaint
В приложении снова пропали бонусы после входа в аккаунт,complaint
Возврат денег за отмененный заказ слишком долго не приходит на карту,complaint
После обновления приложение стало работать хуже и часто зависает,complaint
Поддержка не помогла изменить адрес доставки и заказ ушел не туда,complaint
Когда вернутся в наличие синие кроссовки,question
Как изменить адрес доставки после оплаты,question
Где посмотреть статус моего возврата,question
Можно ли объединить два заказа в одну посылку,question
Когда начислят бонусы за последнюю покупку,question
Как удалить старую банковскую карту из профиля,question
Когда придет код подтверждения на телефон,question
Где скачать чек по заказу за апрель,question
Можно ли перенести дату доставки на пятницу,question
Как связаться с курьером перед приездом,question
Когда откроется пункт выдачи на моей улице,question
Подскажите как поменять размер товара в заказе,question
Есть ли у вас самовывоз в выходные,question
Как отключить уведомления в мобильном приложении,question
Когда обработают заявку на возврат,question
Можно ли оплатить заказ при получении,question
Где найти условия гарантии на пылесос,question
Как восстановить доступ к личному кабинету,question
Когда начнется распродажа летней коллекции,question
Подскажите сколько дней хранится заказ в пункте выдачи,question
Когда поступит возврат денег за отмененную покупку,question
Где посмотреть на каком этапе находится возврат товара,question
Как поменять время приезда курьера на вечер,question
Можно ли узнать статус обращения в поддержку,question
Как изменить адрес доставки в уже оплаченном заказе,question
Как отключить push-уведомления в мобильном приложении,question
Где узнать когда вернут деньги за возврат товара,question
Спасибо за очень быструю доставку,praise
Поддержка решила мой вопрос за пять минут,praise
Очень понравилось качество упаковки и товара,praise
Курьер был вежливым и приехал вовремя,praise
Отличный сервис и понятное приложение,praise
Благодарю за моментальный возврат денег,praise
Все прошло идеально от заказа до получения,praise
Спасибо за подробные уведомления о доставке,praise
Приятно удивила скорость ответа в чате,praise
Заказ пришел раньше обещанного срока,praise
Очень удобно оформлять покупки через ваш сайт,praise
Спасибо за заботу и дружелюбное общение,praise
Отличная работа службы поддержки,praise
Товар полностью оправдал ожидания,praise
Нравится что приложение работает быстро и стабильно,praise
Большое спасибо за замену товара без лишних вопросов,praise
Порадовала аккуратная доставка хрупкого заказа,praise
Сервис стал заметно лучше после обновления,praise
Спасибо за честные цены и хороший ассортимент,praise
Мне очень понравился ваш подход к клиентам,praise
Спасибо за быстрый возврат денег и понятные уведомления,praise
Поддержка очень вежливо помогла решить вопрос с доставкой,praise
После обновления стало удобнее отслеживать заказ в приложении,praise
Приятно что курьер заранее позвонил и приехал вовремя,praise
После обновления приложение работает отлично и пользоваться им стало удобнее,praise
Товар полностью оправдал ожидания и приятно удивил качеством,praise
Спасибо за удобные уведомления о статусе заказа,praise
Мне нравится приложение!,praise
Мне очень нравится ваше приложение!,praise
Ваше приложение мне очень нравится,praise
Приложение супер и пользоваться им приятно,praise
Обожаю ваше приложение за удобство,praise
Очень люблю ваш сервис все работает отлично,praise
Мне нравится как удобно сделано приложение,praise
Приложение очень удобное и понятное,praise
Я доволен приложением все работает хорошо,praise
Очень нравится пользоваться вашим приложением,praise
Сообщаю номер заказа для проверки 12345,other
Оставляю нейтральный отзыв без оценки сервиса,other
Это просто информация о моем новом адресе,other
Передаю данные получателя для будущей доставки,other
Фиксирую что заказ оформлен на имя Ивана,other
Напоминаю о плановой покупке в следующем месяце,other
Здесь перечислены товары из моего списка желаний,other
Указываю дополнительный контактный телефон,other
Сообщение содержит только общую информацию по заказу,other
Обновил профиль и сохранил новые данные,other
Для справки оставляю номер бонусной карты,other
Записываю дату следующей доставки для себя,other
Информирую что буду получать заказ лично,other
Это нейтральное сообщение без вопроса и жалобы,other
Сохраняю заметку о покупке для отчетности,other
Передаю комментарий для внутренней информации,other
Отмечаю что посылка нужна для подарка,other
Уточняю имя получателя в карточке заказа,other
Оставляю техническую заметку без оценки,other
Добавляю описание товара в свой список,other
Передаю информацию для курьера вход со двора,other
Сообщаю дополнительный контакт для получения заказа,other
Оставляю служебную заметку по заказу без вопроса,other
Указываю имя получателя для завтрашней доставки,other
Передаю код ворот для курьера без дополнительных комментариев,other
Сообщаю номер получателя для завтрашней доставки,other
Оставляю служебную информацию по заказу без вопроса и жалобы,other
